,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
NOP16,81.0,95.0,178.0,118.0,52.43090691567332
NOP2,109.0,137.0,111.5,119.16666666666667,15.49462272316862
NOP56,92.5,146.0,148.0,128.83333333333334,31.481476034857916
NOP58,,108.0,94.0,101.0,9.899494936611665
NOSIP,75.0,99.0,119.0,97.66666666666667,22.030282189144405
NOTCH2,,149.5,131.0,140.25,13.08147545195113
NPC1,91.5,,,91.5,
NPEPPS,95.5,,149.0,122.25,37.83021279348029
NPIPA1,,,271.0,271.0,
NPLOC4,121.5,,170.0,145.75,34.294678887547555
NPM1,64.0,85.0,83.0,77.33333333333333,11.590225767142474
NPM3,73.0,,,73.0,
NPNT,,,163.5,163.5,
NPR1,100.0,,,100.0,
NPR2,,,136.5,136.5,
NPR3,,,130.0,130.0,
NPRL2,95.0,167.0,146.0,136.0,37.027017163147235
NPRL3,77.0,,,77.0,
NPTN,,133.5,,133.5,
NQO1,85.0,106.0,112.0,101.0,14.177446878757825
NQO2,78.0,89.5,70.0,79.16666666666667,9.802210635021742
NR1H2,68.0,,,68.0,
NR1H3,89.0,,,89.0,
NR2C1,,140.0,300.5,220.25,113.49063838044088
NR2C2,,,184.0,184.0,
NR2C2AP,92.0,136.0,,114.0,31.11269837220809
NR2F1-AS1,,,204.0,204.0,
NR2F2,,,146.0,146.0,
NR2F6,97.0,,,97.0,
NR3C1,,,146.0,146.0,
NR4A1,130.0,,,130.0,
NRAS,69.5,137.0,78.0,94.83333333333333,36.763886265373706
NRAV,88.0,116.5,,102.25,20.152543263816604
NRBF2,87.0,106.0,108.0,100.33333333333333,11.590225767142474
NRBP1,86.0,97.0,103.5,95.5,8.845903006477066
NRDC,81.0,81.0,149.0,103.66666666666667,39.25981830489455
NREP,,114.0,130.0,122.0,11.313708498984761
NRM,94.5,116.0,97.0,102.5,11.757976016304847
NRP1,,,158.0,158.0,
NRP2,,,152.5,152.5,
NRSN2,133.5,,128.5,131.0,3.5355339059327378
NSA2,74.0,78.0,120.5,90.83333333333333,25.769814382981757
NSD1,,,108.0,108.0,
NSDHL,89.5,114.0,110.0,104.5,13.143439428094915
NSFL1C,62.5,61.0,107.0,76.83333333333333,26.135862972806795
NSL1,75.0,98.0,118.0,97.0,21.517434791350013
NSMAF,62.0,,146.0,104.0,59.39696961966999
NSMCE1,83.5,96.5,104.0,94.66666666666667,10.372238588334408
NSMCE2,79.5,107.5,120.0,102.33333333333333,20.73845060107754
NSMCE4A,81.0,,107.0,94.0,18.384776310850235
NSRP1,,,121.0,121.0,
NSUN2,105.0,,,105.0,
NSUN4,,101.0,,101.0,
NSUN5,93.0,91.5,120.0,101.5,16.03901493234544
NSUN5P2,,,156.5,156.5,
NT5C,74.0,,,74.0,
NT5C2,,148.0,181.5,164.75,23.68807716974934
NT5C3A,82.0,,93.0,87.5,7.7781745930520225
NT5C3B,68.0,,,68.0,
NT5DC1,95.5,86.0,91.0,90.83333333333333,4.752192476461084
NT5DC2,117.5,79.5,125.0,107.33333333333333,24.39432994229055
NTAN1,52.0,,79.0,65.5,19.091883092036785
NTHL1,77.0,,,77.0,
NTMT1,92.0,112.5,101.0,101.83333333333333,10.275375094532235
NTPCR,84.5,117.0,119.0,106.83333333333333,19.367068268928403
NTRK2,,,145.5,145.5,
NTS,82.0,,,82.0,
NUB1,89.5,94.5,114.0,99.33333333333333,12.945398152754258
NUBP1,94.0,108.0,123.0,108.33333333333333,14.502873278538061
NUBP2,84.0,,,84.0,
NUCB1,104.0,,,104.0,
