,UNIPROT_ID,cell_line,half-life t1/2 in h,kdeg,HGNC_ID,Study
13554,Q6ZQY8,HeLA,31.26923045693733,0.022167068726380027,,Cambridge 2011
13555,Q6ZR21,HeLA,43.94268529698551,0.01577389219332701,,Cambridge 2011
13556,Q6ZR29,HeLA,35.812315846864365,0.01935499462039497,,Cambridge 2011
13557,Q6ZR90,HeLA,14.138010460958784,0.04902720806962388,,Cambridge 2011
13558,Q6ZRQ5-1,HeLA,32.45804387298262,0.02135517418339884,,Cambridge 2011
13559,Q6ZRQ5-2,HeLA,32.45804387298262,0.02135517418339884,,Cambridge 2011
13560,Q6ZRT8,HeLA,19.10944172735176,0.03627249767154781,,Cambridge 2011
13561,Q6ZS03,HeLA,19.90587808261453,0.03482123107974466,,Cambridge 2011
13562,Q6ZS08,HeLA,43.92282294726861,0.015781025308689762,HGNC:30365,Cambridge 2011
13563,Q6ZS38,HeLA,25.938153545884088,0.026723073380446355,,Cambridge 2011
13564,Q6ZS74,HeLA,34.244660886902466,0.02024102918843775,HGNC:9840,Cambridge 2011
13565,Q6ZS99,HeLA,58.58093142338017,0.011832300438352266,,Cambridge 2011
13566,Q6ZSA3,HeLA,29.574419214155952,0.023437389439186915,,Cambridge 2011
13567,Q6ZSB8,HeLA,33.12740722321572,0.020923677361450344,,Cambridge 2011
13568,Q6ZSI4,HeLA,17.63941911779027,0.0392953518441472,HGNC:23726,Cambridge 2011
13569,Q6ZSV8,HeLA,39.84630334391235,0.017395520346703455,,Cambridge 2011
13570,Q6ZT85,HeLA,29.46707355211767,0.023522769552734624,,Cambridge 2011
13571,Q6ZTI3,HeLA,54.46705477061121,0.01272598974699742,,Cambridge 2011
13572,Q6ZTK5,HeLA,34.01670876678963,0.020376667987252843,,Cambridge 2011
13573,Q6ZTK9,HeLA,48.23278883520591,0.01437087088055762,,Cambridge 2011
13574,Q6ZTL3,HeLA,50.221337778745664,0.013801846211537884,,Cambridge 2011
